loc_index,grid_id,x,y,z
105,10-0-5,10.0,0.0,3.0
106,10-0-6,10.0,0.0,3.5
107,10-0-7,10.0,0.0,4.0
108,10-0-8,10.0,0.0,4.5
109,10-0-9,10.0,0.0,5.0
110,11-0-0,11.0,0.0,0.5
111,11-0-1,11.0,0.0,1.0
112,11-0-2,11.0,0.0,1.5
113,11-0-3,11.0,0.0,2.0
114,11-0-4,11.0,0.0,2.5
115,11-0-5,11.0,0.0,3.0
116,11-0-6,11.0,0.0,3.5
117,11-0-7,11.0,0.0,4.0
118,11-0-8,11.0,0.0,4.5
119,11-0-9,11.0,0.0,5.0
120,12-0-0,12.0,0.0,0.5
121,12-0-1,12.0,0.0,1.0
122,12-0-2,12.0,0.0,1.5
123,12-0-3,12.0,0.0,2.0
124,12-0-4,12.0,0.0,2.5
125,12-0-5,12.0,0.0,3.0
126,12-0-6,12.0,0.0,3.5
127,12-0-7,12.0,0.0,4.0
128,12-0-8,12.0,0.0,4.5
129,12-0-9,12.0,0.0,5.0
130,13-0-0,13.0,0.0,0.5
131,13-0-1,13.0,0.0,1.0
132,13-0-2,13.0,0.0,1.5
133,13-0-3,13.0,0.0,2.0
134,13-0-4,13.0,0.0,2.5
135,13-0-5,13.0,0.0,3.0
136,13-0-6,13.0,0.0,3.5
137,13-0-7,13.0,0.0,4.0
138,13-0-8,13.0,0.0,4.5
139,13-0-9,13.0,0.0,5.0
140,14-0-0,14.0,0.0,0.5
141,14-0-1,14.0,0.0,1.0
142,14-0-2,14.0,0.0,1.5
143,14-0-3,14.0,0.0,2.0
144,14-0-4,14.0,0.0,2.5
145,14-0-5,14.0,0.0,3.0
146,14-0-6,14.0,0.0,3.5
147,14-0-7,14.0,0.0,4.0
148,14-0-8,14.0,0.0,4.5
149,14-0-9,14.0,0.0,5.0
150,15-0-0,15.0,0.0,0.5
151,15-0-1,15.0,0.0,1.0
152,15-0-2,15.0,0.0,1.5
153,15-0-3,15.0,0.0,2.0
154,15-0-4,15.0,0.0,2.5
155,15-0-5,15.0,0.0,3.0
156,15-0-6,15.0,0.0,3.5
157,15-0-7,15.0,0.0,4.0
158,15-0-8,15.0,0.0,4.5
159,15-0-9,15.0,0.0,5.0
160,16-0-0,16.0,0.0,0.5
161,16-0-1,16.0,0.0,1.0
162,16-0-2,16.0,0.0,1.5
163,16-0-3,16.0,0.0,2.0
164,16-0-4,16.0,0.0,2.5
165,16-0-5,16.0,0.0,3.0
166,16-0-6,16.0,0.0,3.5
167,16-0-7,16.0,0.0,4.0
168,16-0-8,16.0,0.0,4.5
169,16-0-9,16.0,0.0,5.0
170,17-0-0,17.0,0.0,0.5
171,17-0-1,17.0,0.0,1.0
172,17-0-2,17.0,0.0,1.5
173,17-0-3,17.0,0.0,2.0
174,17-0-4,17.0,0.0,2.5
175,17-0-5,17.0,0.0,3.0
176,17-0-6,17.0,0.0,3.5
177,17-0-7,17.0,0.0,4.0
178,17-0-8,17.0,0.0,4.5
179,17-0-9,17.0,0.0,5.0
180,18-0-0,18.0,0.0,0.5
181,18-0-1,18.0,0.0,1.0
182,18-0-2,18.0,0.0,1.5
183,18-0-3,18.0,0.0,2.0
184,18-0-4,18.0,0.0,2.5
185,18-0-5,18.0,0.0,3.0
186,18-0-6,18.0,0.0,3.5
187,18-0-7,18.0,0.0,4.0
188,18-0-8,18.0,0.0,4.5
189,18-0-9,18.0,0.0,5.0
190,19-0-0,19.0,0.0,0.5
191,19-0-1,19.0,0.0,1.0
192,19-0-2,19.0,0.0,1.5
193,19-0-3,19.0,0.0,2.0
194,19-0-4,19.0,0.0,2.5
195,19-0-5,19.0,0.0,3.0
196,19-0-6,19.0,0.0,3.5
